Municipality,Sale,Rent
Udine,1504,7.91
Aiello del Friuli,946,6.74
Amaro,613,5.90
Ampezzo,608,6.02
Aquileia,968,6.99
Arta Terme,663,5.90
Artegna,993,6.25
Attimis,678,6.43
Bagnaria Arsa,879,6.57
Basiliano,876,6.55
Bertiolo,388,6.43
Bicinicco,494,6.91
Bordano,468,5.91
Buja,739,6.44
Buttrio,854,7.15
Camino al Tagliamento,1175,7.18
Campoformido,1208,7.28
Campolongo Tapogliano,701,6.78
Carlino,618,6.56
Cassacco,843,6.37
Castions di Strada,626,6.75
Cavazzo Carnico,474,5.90
Cercivento,456,5.99
Cervignano del Friuli,1061,6.92
Chiopris-Viscone,1100,6.35
Chiusaforte,929,5.96
Cividale del Friuli,1238,7.24
Codroipo,1174,5.79
Colloredo di Monte Albano,483,7.84
Comeglians,432,5.99
Corno di Rosazzo,906,6.75
Coseano,733,5.92
Dignano,925,5.93
Dogna,520,5.96
Drenchia,681,6.83
Enemonzo,569,5.96
Faedis,626,7.15
Fagagna,1036,6.45
Fiumicello Villa Vicentina,1097,6.75
Flaibano,422,6.48
Forgaria nel Friuli,518,5.38
Forni Avoltri,1132,6.02
Forni di Sopra,1270,6.77
Forni di Sotto,608,6.36
Gemona del Friuli,755,5.90
Gonars,931,6.40
Grimacco,681,6.88
Latisana,1342,6.39
Lauco,482,5.90
Lestizza,824,6.59
Lignano Sabbiadoro,3067,6.39
Lusevera,363,5.84
Magnano in Riviera,587,5.84
Majano,813,5.38
Malborghetto Valbruna,1539,6.31
Manzano,783,6.87
Marano Lagunare,1175,6.39
Martignacco,1146,7.65
Mereto di Tomba,489,6.43
Moggio Udinese,661,5.90
Moimacco,1024,7.45
Montenars,662,5.84
Mortegliano,821,6.75
Moruzzo,1045,8.78
Muzzana del Turgnano,618,6.53
Nimis,766,5.85
Osoppo,641,5.38
Ovaro,497,5.96
Pagnacco,1360,8.79
Palazzolo dello Stella,694,6.39
Palmanova,1098,6.40
Paluzza,492,5.92
Pasian di Prato,1227,6.53
Paularo,440,5.92
Pavia di Udine,1011,7.06
Pocenia,670,6.54
Pontebba,616,5.95
Porpetto,613,6.68
Povoletto,734,6.87
Pozzuolo del Friuli,1008,7.23
Pradamano,1330,7.36
Prato Carnico,386,6.01
Precenicco,783,6.39
Premariacco,874,7.15
Preone,480,5.99
Prepotto,826,7.45
Pulfero,602,7.25
Ragogna,634,5.38
Ravascletto,1415,5.98
Raveo,486,5.97
Reana del Rojale,1028,5.87
Remanzacco,782,7.87
Resia,396,6.23
Resiutta,492,5.95
Rigolato,665,6.01
Rive d'Arcano,691,5.38
Rivignano Teor,725,6.69
Ronchis,936,6.39
Ruda,784,6.75
San Daniele del Friuli,884,5.38
San Giorgio di Nogaro,903,6.67
San Giovanni al Natisone,893,6.70
San Leonardo,691,7.32
San Pietro al Natisone,643,7.45
San Vito al Torre,747,6.59
San Vito di Fagagna,950,6.55
Santa Maria la Longa,655,6.73
Sappada,2550,6.03
Sauris,1089,6.02
Savogna,691,6.94
Sedegliano,425,6.43
Socchieve,589,5.99
Stregna,696,6.93
Sutrio,586,5.94
Taipana,396,6.33
Talmassons,518,6.75
Tarcento,856,5.84
Tarvisio,1604,6.36
Tavagnacco,1442,7.34
Terzo d'Aquileia,1058,6.75
Tolmezzo,1088,5.90
Torreano,513,7.45
Torviscosa,655,6.75
Trasaghis,489,5.74
Treppo Grande,691,6.90
Treppo Ligosullo,453,5.92
Tricesimo,1156,6.52
Trivignano Udinese,1128,6.76
Varmo,678,6.43
Venzone,613,5.92
Verzegnis,480,5.90
Villa Santina,649,5.90
Visco,700,6.40
Zuglio,462,5.90